traditional spelling,soundSpel,short note,alternates,British,long notes,
a’a,aa’aa,*,
aa,aa’aa,*,
aah,aa,,
aback,abak,,
abacus,abacus,,
abaft,abaft,,
abalone,abaloeny,,
abandon,abandon,,
abandoned,abandond,,
abandoning,abandoning,,
abandonment,abandonment,,
abandonments,abandonments,*,
abandons,abandons,,
abase,abaess,,
abasement,abaesment,,
abashed,abasht,,
abate,abaet,,
abated,abaeted,,
abatement,abaetment,,
abatements,abaetments,,
abates,abaets,,
abating,abaeting,,
abattoir,abatwar,,
abbe,abae,,
abbes,abaes,,
abbess,abes,,
abbey,aby,,
abbeys,abys,,
abbot,abot,,
abbots,abots,,
abbreviate,abreeviaet,,
abbreviated,abreeviaeted,,
abbreviates,abreeviaets,,
abbreviating,abreeviaeting,,
abbreviation,abreeviaeshon,,
abbreviations,abreeviaeshons,,
abdicate,abdicaet,,
abdicated,abdicaeted,,
abdicates,abdicaets,,
abdicating,abdicaeting,,
abdication,abdicaeshon,,
abdications,abdicaeshons,,
abdomen,abdomen,,
abdomens,abdomens,,
abdominal,abdominal,,
abdominally,abdominaly,,
abduct,abdukt,,
abducted,abdukted,,
abducting,abdukting,,
abduction,abdukshon,,
abductions,abdukshons,,
abductor,abduktor,,
abductors,abduktors,,
abducts,abdukts,,
abed,abed,,
aberrance,aberranss,,
aberrant,aberrant,,
aberrantly,aberrantly,,
aberration,aberaeshon,,
aberrational,aberaeshonal,,
aberrations,aberaeshons,,
abet,abet,,
abets,abets,,
abetted,abeted,,
abetting,abeting,,
abettor,abetor,,
abeyance,abaeanss,,
abhor,abor,,
abhored,abord,,
abhorrence,aborenss,,
abhorrent,aborent,,
abhorrently,aborently,,
abhorring,aboring,,
abhors,abors,,
abide,abied,,
abides,abieds,,
abiding,abieding,,
Abigail,Abigael,,
abilities,abilitys,,
ability,ability,,
abject,abjekt,,
abjection,abjekshon,,
abjections,abjekshons,,
abjectly,abjektly,,
abjuration,abjuuraeshon,,
abjurations,abjuuraeshons,,
abjure,abjuur,,
abjured,abjuurd,,
abjures,abjuurs,,
abjuring,abjuuring,,
ablate,ablaet,,
ablated,ablaeted,,
ablates,ablaets,,
ablating,ablaeting,,
ablation,ablaeshon,,
ablations,ablaeshons,,
ablative,ablativ,,
ablatives,ablativs,,
ablaze,ablaez,,
able,aebl,,
abler,aebler,,
ables,aebls,*,
ablest,aeblest,,
abling,aebling,*,
ablution,ablooshon,,
ablutions,ablooshon,,
ably,aebly,,
abnegate,abnegaet,,
abnegated,abnegaeted,,
abnegates,abnegaets,,
abnegating,abnegaeting,,
abnegation,abnegaeshon,,
abnegations,abnegaeshons,,
abnormal,abnormal,,
abnormalities,abnormalitys,,
abnormality,abnormality,,
abnormally,abnormaly,,
aboard,abord,,
abode,aboed,,
abodes,aboeds,,
abolish,abolish,,
abolished,abolisht,,
abolishes,abolishes,,
abolishing,abolishing,,
abolition,abolishon,,
abolitionism,abolishonizm,,
abolitionist,abolishonist,,
abolitionists,abolishonists,,
abominable,abominabl,,
abominably,abominably,,
abomination,abominaeshon,,
abominations,abominaeshons,,
aboriginal,aborijinal,,
aborigine,aborijinee,aborijiny,,
aborigines,aborijinees,aborijinys,,
abort,abort,,
aborted,aborted,,
aborting,aborting,,
abortion,aborshon,,
abortionist,aborshonist,,
abortionists,aborshonists,,
abortions,aborshons,,
abortive,abortiv,,
abortively,abortivly,,
aborts,aborts,,
abound,abound,,
abounded,abounded,,
abounding,abounding,,
abounds,abounds,,
about,about,,
above,abuv,,
aboveboard,abuvbord,,
aboveground,abuvground,,
abovementioned,abuvmenshond,,
abrade,abraed,,
abraded,abraeded,,
abrader,abraeder,,
abraders,abraeders,,
abrades,abraeds,,
abrading,abraeding,,
abrasion,abraezhon,,
abrasions,abraezhons,,
abrasive,abraesiv,,
abrasively,abraesivly,,
abrasiveness,abraesivnes,,
abreact,abreakt,,
abreacted,abreakted,,
abreacting,abreakting,,
abreaction,abreakshon,,
abreactions,abreakshons,,
abreacts,abreakts,,
abreast,abrest,,
abridge,abrij,,
abridged,abrijd,,
abridgement,abrijment,,
abridgements,abrijments,,
abridges,abrijes,,
abridging,abrijing,,
abroad,abraud,,
abrogate,abrogaet,,
abrogated,abrogaeted,,
abrogates,abrogaets,,
abrogating,abrogaeting,,
abrogation,abrogaeshon,,
abrogations,abrogaeshons,,
abrupt,abrupt,,
abruptly,abruptly,,
abruptness,abruptnes,,
abscess,absess,,
abscesses,abseses,,
abscissa,absisa,,
abscissas,absisas,,
abscond,abscond,,
absconded,absconded,,
absconder,absconder,,
absconders,absconders,,
absconding,absconding,,
absconds,absconds,,
absent,absent,,
absented,absented,,
absentee,absentee,,
absenteeism,absenteeizm,,
absentees,absentees,,
absentia,absensha,,
absently,absently,,
absentminded,absentmiended,,
absentmindedly,absentmiendedly,,
absentmindedness,absentmiendednes,,
absinthe,absinth,,
absolute,absoloot,,
absolutely,absolootly,,
absoluteness,absolootnes,,
absolutes,absoloots,,
absolution,absolooshon,,
absolutions,absolooshons,,
absolutism,absolootizm,,
absolutist,absolootist,,
absolutists,absolootists,,
absolve,abzolv,,
absolved,abzolvd,,
absolves,abzolvs,,
absolving,abzolving,,
absorb,absorb,,
absorbed,absorbd,,
